epoch,acc,f1,loss,lr,precision,recall,val_acc,val_f1,val_loss,val_precision,val_recall
0,0.9097061401395338,0.6771196896536175,0.20785568784345732,0.001,0.7559988682565284,0.6173146727694033,0.9109409569692211,0.6956630263007989,0.20202491766765338,0.7448562080118837,0.6535306469732973
1,0.9235679902474258,0.7380424452566088,0.17551863049220662,0.001,0.7892965458553416,0.694111440188598,0.8903776047610436,0.6232285984423982,0.2490727382798155,0.6716420121553566,0.5822392366513485
2,0.927716836708754,0.7538316596361095,0.16620334635553727,0.001,0.8011516244871484,0.7127649528547703,0.9204182334306861,0.7327951494385214,0.1843505678807988,0.7703813211256716,0.6994803592938335
3,0.9308115228248895,0.7656918646964862,0.1592737226589409,0.001,0.8092874262811813,0.7274914760225707,0.9209876721646605,0.729534886764879,0.1820225057982597,0.7809839740520765,0.6853534754584817
4,0.9331320927802224,0.7735852107373479,0.1542937607055864,0.001,0.8160089791421842,0.7362311403042469,0.9257352966220439,0.7407166218557277,0.17370571774594923,0.8096776940241581,0.6832994044327936
5,0.9349452690566676,0.780652610838542,0.15021932734440693,0.001,0.8203775444804893,0.7455122674043613,0.9132601734970798,0.6998740216263202,0.19561985881388688,0.7631634252411978,0.6470207447765254
6,0.9364487992035047,0.785879387132035,0.14636562715295925,0.001,0.8237337592353574,0.7521362712565217,0.9211784061263589,0.7250401522932934,0.18252993959839606,0.7943885531746039,0.6675989386414279
7,0.9378324375039301,0.7915682521674855,0.14346989521809067,0.001,0.8275014441205581,0.759404897861467,0.9300641299295827,0.7638729117497677,0.16161545611479702,0.8059359721776818,0.7267926921363638
8,0.9390248421330174,0.7957606990402598,0.1408543504527827,0.001,0.8306788589518391,0.7644256819187093,0.9280890660125668,0.7506484424366671,0.1670922746177481,0.8164871091602229,0.6954614376821437
9,0.9401284373647623,0.7998812089428102,0.13829822926275845,0.001,0.833172174303372,0.7699284274814968,0.923299978761112,0.7365447110488635,0.17719904750335116,0.7924975650651115,0.6887690256623661
10,0.9411313820005407,0.8033860323024019,0.13600410836432975,0.001,0.8363872264639949,0.7736680729514493,0.9099250890627628,0.6803505415676021,0.21025173864444766,0.760373609807311,0.6163166054156648
11,0.9426316553907826,0.808463802541049,0.13297858234572701,0.001,0.8397479755917927,0.780206769597539,0.9300378713287225,0.764422349168473,0.16411415510067418,0.8066247701644897,0.7271331773084753
12,0.9433672872698504,0.811637009087014,0.1314186809746759,0.001,0.842030889186351,0.7840859612773184,0.9240560061791364,0.7416422752773061,0.1805133832352502,0.7877620178110459,0.7013726004031526
13,0.9444492733289733,0.8155698457838736,0.1289888473296011,0.001,0.8443233258995416,0.7894229936119118,0.929762826046022,0.7616234179304427,0.16610726785509528,0.8087476963756465,0.7203788127217974
14,0.9453918302205074,0.8184920617408079,0.12670702055160993,0.001,0.8464635374135813,0.7930464010988748,0.9268672626559474,0.7551656775113915,0.17184034747486354,0.7911851585412226,0.7230245444954945
15,0.9464986811145937,0.8224298587327727,0.12462103220683109,0.001,0.8498642598449798,0.7974220262619126,0.9283171170899848,0.7578755205418883,0.17335811813338464,0.8021080778426483,0.7189836597242275
16,0.9497322047717971,0.8333582954710554,0.11706031391717617,0.000100000005,0.8591037729689335,0.8097513661142559,0.9353798081894883,0.7840415645046395,0.1542467213478409,0.8181711089711229,0.7533096049012257
17,0.950871325401714,0.8376169684681641,0.11474261625721525,0.000100000005,0.8622197456459418,0.8149987223810906,0.9350785016011791,0.783564635685512,0.15526454879456209,0.81821537388473,0.7524730269648447
18,0.9515566324870135,0.840162720651915,0.1130705070450548,0.000100000005,0.8637302326503806,0.8184658797247277,0.9346168717416394,0.7818816188002835,0.1574232323830869,0.8160363262440978,0.7512422048745035
19,0.9520068933330396,0.8417149545521595,0.11216113839467452,0.000100000005,0.8653993520529001,0.8198744657444731,0.9345906109369102,0.7838857619702315,0.15687284522196826,0.8144019209036306,0.7562965297899327
20,0.9522520052691515,0.8424883087690654,0.11112884196061895,0.000100000005,0.8660803106596695,0.8207489119921767,0.9345132120517121,0.7829256030691772,0.1578919306397438,0.8140490472817621,0.7547840222591111
21,0.9525711245464712,0.8435392876895235,0.11060665391219271,1.0000001e-05,0.8666460904781556,0.8221757916171745,0.9351379351455624,0.7832573068242114,0.15672628496374402,0.8169673784440306,0.7529007654230134
22,0.9530868061246247,0.845052129463638,0.10970008263566924,1.0000001e-05,0.86835633517599,0.8235651391113809,0.9348711848258973,0.7827126078245019,0.1569139023788837,0.8168277549142597,0.7520801951905258
23,0.9530424025738471,0.8449682578755592,0.1097283500821321,1.0000001e-05,0.868307342367948,0.8234513276682387,0.9347495537846028,0.7827300719854211,0.1570663120691516,0.8148357965365177,0.753821710378182
24,0.9530471391906148,0.844933398169867,0.10965460228825577,1.0000001e-05,0.8682821045426519,0.8234065018857101,0.9348711840244902,0.7835533789225987,0.15759130935458576,0.8138416187102053,0.7561395492874273
25,0.9528937963936465,0.8443143965101139,0.10976187700822768,1.0000001e-06,0.8672601383010461,0.8231630671616507,0.9350978540773152,0.7831309695203765,0.15637997035719767,0.8144385851731821,0.7547732681787315
26,0.9532262354424053,0.8455080287417034,0.10939003607892492,1.0000001e-06,0.868745720068957,0.8240761778567488,0.9351185870771649,0.7842969202193893,0.15628026738888076,0.8167018508710782,0.755091849395207
27,0.9530622361803158,0.8450121168741827,0.10960115420734651,1.0000001e-06,0.8688657682649175,0.8230279432388413,0.9354779389726013,0.7842581741950091,0.15563673101553396,0.8149056528796669,0.7564785671835186
28,0.9530421049582863,0.845036911033228,0.10961430370700367,1.0000001e-06,0.8679290379956096,0.8239226893094738,0.9351379348450348,0.7847740106222009,0.15707497132175108,0.8181122120688943,0.7547737165659416
29,0.9529612903074879,0.8447132142565077,0.10970968500455563,1.0000001e-06,0.8676543780545523,0.8235536796785757,0.9355180204415522,0.7853546054423356,0.15602220745146775,0.8168138677332581,0.7569159562848196
30,0.9530127989979765,0.8450330159834085,0.10973654134377375,1.0000001e-06,0.8685947815620101,0.8232977157706748,0.935002485443564,0.7831527234125538,0.15668758615976622,0.8149988747444473,0.7544037215849932
31,0.9530628287723547,0.845090216552722,0.10946318286734574,1.0000001e-06,0.8681926858176251,0.8238184680348253,0.935053624125088,0.7842173117549479,0.15709652254561415,0.8167279137282812,0.7548596093634597
32,0.9530725968536324,0.8452301390141871,0.10963101200678951,1.0000001e-06,0.8687825607815778,0.8234871225961256,0.9354295653455398,0.7846570117133004,0.15638008065083447,0.8163296205656869,0.7561029421181238
33,0.9530435861916401,0.8449043715231876,0.10937244795354001,1.0000001e-06,0.8680664881516739,0.8235350416623233,0.9353176106925772,0.7849244292042836,0.15649904730189748,0.8158024089676993,0.7570073301050844
34,0.953294323192731,0.8457463014846744,0.10926180849183026,1.0000001e-07,0.869580330931943,0.8237768933016074,0.9346251663039712,0.7825417831164448,0.15780628838208544,0.8137673730609798,0.7543682772572301
35,0.9530592757519241,0.8450412835209725,0.10932064463791442,1.0000001e-07,0.8679906875860613,0.8238424058008572,0.9353894816727197,0.7839764614065154,0.1556046518958917,0.8155646413314243,0.7554199457168579
36,0.9532833695411682,0.8454972009722324,0.10927295296729855,1.0000001e-07,0.8682283382135986,0.8245053075259328,0.935046714794736,0.7837816016012881,0.15737169339877216,0.817055888135894,0.7537903717585972
