epoch,acc,f1,loss,lr,precision,recall,val_acc,val_f1,val_loss,val_precision,val_recall
0,0.9062831570468762,0.6632985227223006,0.21598579446517624,0.001,0.7481118994781746,0.5984879255595184,0.9179787711936886,0.715440599056853,0.18855938558318033,0.7788343275294585,0.6624219290348662
1,0.9212127850586086,0.7288420025052743,0.18110613309817833,0.001,0.7845110731257047,0.6816693467146377,0.9222246796143155,0.7354866489642808,0.1798343638412091,0.7833622467618029,0.6938352908406938
2,0.9256025969209732,0.7456253595795024,0.17076536442325474,0.001,0.7952612553078807,0.7027623242101195,0.9287566331254334,0.7512053069948148,0.1653812984208099,0.816965570670216,0.6959941010515229
3,0.9284607575384295,0.7562993351635614,0.16431518643558068,0.001,0.802566041463223,0.716015238784216,0.9278140222325044,0.7567810323058056,0.16575648371411972,0.7966625823694117,0.7214722688458547
4,0.9304337885372925,0.7648013178567563,0.15958918871919914,0.001,0.8070914056594635,0.7275848320227376,0.9333853927980952,0.7734094010681666,0.15497395448824938,0.818898245767385,0.733382917652611
5,0.9319870532245581,0.7706474373459044,0.15623965246577415,0.001,0.8115718797053082,0.7345291563424384,0.9334213280878148,0.775087423785394,0.15305491333999555,0.81327604265774,0.741037047109684
6,0.9331211393432192,0.7743427323471135,0.15338421170448896,0.001,0.814114588404663,0.7391424130586689,0.9337378363649385,0.7743033256851325,0.1523343807884625,0.8219609481947763,0.7325910805654126
7,0.9343780777795955,0.7788862719906586,0.15050246429752326,0.001,0.8169332262721313,0.7450388418289292,0.9313080497148658,0.7707858288989348,0.15850137151589916,0.8044148455146982,0.7405397235846319
8,0.9352765252385918,0.7822343509689864,0.14875998546733454,0.001,0.8200837716170573,0.7485888429989138,0.9350080154523128,0.7831392940352945,0.15127474033281582,0.8164117419419168,0.7531426819432684
9,0.9362634846939296,0.785600589324108,0.14649790016930253,0.001,0.8227194681752921,0.7524836422128588,0.9355083457562102,0.7847459591737315,0.14831762128517406,0.8130194475670822,0.7590910895531919
10,0.9368697514930503,0.7881903554184819,0.1449570168182522,0.001,0.8239925600711694,0.7561614345397084,0.935838674998083,0.779527503602645,0.1479311234184674,0.8344826508970822,0.7320732271971823
11,0.9373066905722334,0.7900121144633915,0.14393653478164994,0.001,0.8260606718930175,0.7577305398371856,0.9336673491141375,0.7839320888038442,0.15164099334418274,0.7969423670728667,0.7720611998013087
12,0.9379911088231143,0.7925248197336863,0.142273391326762,0.001,0.8274391328069785,0.7612487472931716,0.9361938830183334,0.785983485233884,0.14809593468153176,0.8224963095007825,0.7532765916415624
13,0.9385654049824261,0.7943296723223316,0.14082165699937602,0.001,0.828441106153101,0.7637018232657979,0.9366140498834498,0.785846367202887,0.14698901033702017,0.8278965777709705,0.7485677051944893
14,0.9393996140826426,0.7967759471003146,0.13924964346243718,0.001,0.8312341181857711,0.7658450590826094,0.9370604789557577,0.7879837337662192,0.14520710667892664,0.8304226809189099,0.750325055983888
15,0.9397826750043315,0.7987476841119487,0.13843477447366354,0.001,0.8321857837312422,0.7686710482968797,0.9368835671609189,0.7890137514146436,0.145687053634339,0.8207541591980878,0.7604366980680899
16,0.9399801259250242,0.7996552742969397,0.1376962578145397,0.001,0.8323117651640726,0.7702341695283281,0.937346580950152,0.7922314588763133,0.14625873367826478,0.8173688477828723,0.7692293780190604
17,0.9403599312487397,0.8010689532310522,0.13689602963234815,0.001,0.8335906144223512,0.7717346778612844,0.9378054482596261,0.7929692977616767,0.14335448884663463,0.8230995322475915,0.7656231387322691
18,0.9411402632857159,0.8033039217118826,0.13551095643002323,0.001,0.8357897663691475,0.774057826114439,0.9361482708394027,0.7865610776829118,0.14703568498126598,0.8190037947742879,0.7573606748540862
19,0.9413859669770844,0.8043429616374709,0.1345507238030734,0.001,0.8356574652776863,0.7760359909012645,0.9371986922095804,0.7923487234516304,0.14564062979291467,0.8178270018401266,0.769095323666805
20,0.9418039601899635,0.8060533303721849,0.13374736574676244,0.001,0.8371030697726448,0.7779810177155585,0.9364274612995757,0.7877701524926835,0.14762860869660097,0.817846921411883,0.7605341493582525
21,0.9421846529963722,0.8071755005611285,0.13271199569610317,0.001,0.8380032487487175,0.7792797782294093,0.9369042989586581,0.7909434549948748,0.14690144292446747,0.8129810658823542,0.7706820593160741
22,0.9442796480792989,0.814791798484334,0.12811562309780508,0.000100000005,0.8445030091648226,0.7877787849171888,0.9402780783276597,0.8016700406034454,0.13844908111486115,0.8284604052535626,0.7772509229283373
23,0.94525565660798,0.8179151535763682,0.12638894752837326,0.000100000005,0.8472012688437325,0.7912774716803631,0.9398150666421201,0.8006901667899444,0.1391563582445393,0.8254266831053405,0.778012918123678
24,0.9452775617225982,0.8180198649694115,0.12565257206902478,0.000100000005,0.847194859499207,0.7914818699107572,0.9400666125682222,0.80232368437182,0.1392700582742691,0.8263093184022342,0.7802414423277398
25,0.9455146817228964,0.8189426703020511,0.12515628283952018,0.000100000005,0.8477994411046595,0.7926427998544502,0.9401274263357916,0.8018240907612969,0.1388059714511663,0.8226531562684964,0.7826743809114985
26,0.9459084001825043,0.8199015049045253,0.12423428690330514,0.000100000005,0.848599290165479,0.7937715370462815,0.9398897012742627,0.801454703948077,0.139535507785172,0.8231673145494541,0.7815183682601993
27,0.9460288835052452,0.8208091900321199,0.12417447685530239,0.000100000005,0.8489366770648887,0.7951523144310374,0.9397639279605962,0.8004673549107143,0.13959956542283547,0.8228188385482595,0.7799942055670153
28,0.9461946586982392,0.8213746763331329,0.12367701324747568,0.000100000005,0.8493597617545859,0.7958187792393868,0.9401979168923963,0.8017819989629152,0.13891071458073223,0.8235818315954769,0.7817875338201763
29,0.946347409697039,0.8218214486982429,0.12335340312867821,1.0000001e-05,0.8501283842895939,0.7960180578856609,0.9401951511367028,0.8026544796318568,0.13938421859961597,0.8265977351605391,0.7807295658007389
30,0.9463503708334773,0.822207295718684,0.12327903532205167,1.0000001e-05,0.8502502231137885,0.7966172213473708,0.9405780023887378,0.8039874492573137,0.13842141109855235,0.8263295634454038,0.7834969114856559
31,0.9466052519236647,0.8227107786634485,0.1229840756170693,1.0000001e-05,0.8503144769208564,0.7975148104823176,0.9399270204936757,0.8022966623306275,0.1390876971498257,0.8230764583379281,0.7832047870179184
